Year-Month,start_price,end_price,total_dividends,return
1988-03,0.3861609995365143,0.2769395709037781,0.0,-28.283909758838433
1988-04,0.3549109995365143,0.2838626801967621,0.0,-20.018629862848908
1988-05,0.3638390004634857,0.2878931760787964,0.000714,-20.67722929341091
1988-06,0.3705359995365143,0.3208443522453308,0.0,-13.410747499120292
1988-07,0.4151790142059326,0.3078370690345764,0.0,-25.854376425228853
1988-08,0.3973209857940674,0.2771417200565338,0.000714,-30.06769589549261
1988-09,0.3549109995365143,0.30059903860092163,0.0,-15.302980467362179
1988-10,0.3839290142059326,0.2684537172317505,0.0,-30.07725196623021
1988-11,0.34375,0.26219403743743896,0.000893,-23.465589109108663
1988-12,0.3370540142059326,0.280486136674881,0.0,-16.783030359190413
1989-01,0.359375,0.2630649507045746,0.0,-26.799318064814027
1989-02,0.3370540142059326,0.2533085346221924,0.000893,-24.581365624418634
1989-03,0.3236609995365143,0.24894066154956818,0.0,-23.085987528292367
1989-04,0.3169640004634857,0.2725245952606201,0.0,-14.020332005490644
1989-05,0.34375,0.3343989849090576,0.000893,-2.4605134810014206
1989-06,0.4263390004634857,0.2888794243335724,0.0,-32.24184885278545
1989-07,0.37276801466941833,0.2783743739128113,0.0,-25.32235520269037
1989-08,0.3549109995365143,0.3123781085014343,0.000893,-11.732488170121062
1989-09,0.3973209857940674,0.3123781085014343,0.0,-21.378905300677776
1989-10,0.3973209857940674,0.3264184296131134,0.0,-17.845157622180817
1989-11,0.4129459857940674,0.31138861179351807,0.000982,-24.35557614324538
1989-12,0.3973209857940674,0.24805529415607452,0.0,-37.56803616594209
1990-01,0.31473198533058167,0.23925898969173431,0.0,-23.980084375464283
1990-02,0.3080359995365143,0.2400297075510025,0.000982,-21.758590582386393
1990-03,0.29910698533058167,0.2841532230377197,0.0,-4.999469429419914
1990-04,0.35714301466941833,0.27797630429267883,0.0,-22.16666912833741
1990-05,0.3549109995365143,0.2920213043689728,0.000982,-17.443160467944942
1990-06,0.36941999197006226,0.31679871678352356,0.0,-14.244295471373167
1990-07,0.3973209857940674,0.29733043909072876,0.0,-25.16618811450448
1990-08,0.375,0.2627254128456116,0.000982,-29.678023241170248
1990-09,0.32589301466941833,0.20592041313648224,0.0,-36.813492812859074
1990-10,0.26339301466941833,0.21834656596183777,0.0,-17.102370297905534
1990-11,0.2723209857940674,0.26182276010513306,0.001071,-3.4618065374011664
1990-12,0.3325890004634857,0.30635082721710205,0.0,-7.8890682523531925
1991-01,0.3816959857940674,0.39540621638298035,0.0,3.5919242274425978
1991-02,0.4955359995365143,0.4087320864200592,0.001071,-17.301046381421926
1991-03,0.5089290142059326,0.48548072576522827,0.0,-4.607378983351939
1991-04,0.607142984867096,0.3926678001880646,0.0,-35.32531710400642
1991-05,0.4285709857940674,0.33641162514686584,0.001071,-21.253972776162314
1991-06,0.41964301466941833,0.29704421758651733,0.0,-29.215021529544703
1991-07,0.37723198533058167,0.33104273676872253,0.0,-12.244255619358965
1991-08,0.4107140004634857,0.38021373748779297,0.001071,-7.165390744528355
1991-09,0.47098198533058167,0.3551054000854492,0.0,-24.603188413628775
1991-10,0.43973198533058167,0.36945292353630066,0.0,-15.98224921970291
1991-11,0.4575890004634857,0.3649483025074005,0.001071,-20.011341588922697
1991-12,0.453125,0.4053981304168701,0.0,-10.532826390759698
1992-01,0.49776801466941833,0.46562373638153076,0.0,-6.457682563078201
1992-02,0.578125,0.4863075315952301,0.001071,-15.69668642677101
